Clear,Clouds,Snow
5818,4103,1906
5601,3974,1543
5174,4277,1589
4821,4680,1057
5583,4677,669
1549,4876,425
2043,5046,425
2854,5466,354
2431,5066,317
3336,3825,333
5951,2816,610
6505,2281,944
5920,2062,1195
4986,1415,1488
4475,470,1833
4998,292,2205
4322,235,2632
3391,776,3145
2868,2638,3337
1196,5741,3426
819,6996,4748
2856,4756,5087
6011,5120,4778
5794,6425,4956
5353,5936,4687
5244,5909,4956
7070,5044,4665
6760,5484,4651
5509,6103,4566
4875,6148,4524
3782,4707,4119
3171,3431,348
2367,3030,113
894,2695,2506
552,2049,2540
390,682,2400
433,373,2282
779,309,2148
2769,406,2176
5610,2358,2016
6318,3675,1858
5613,3310,1481
5815,3870,980
5842,3479,1364
6054,3541,1962
6128,4132,2476
6342,4476,2967
5613,4913,3374
4955,5254,3730
3793,5830,3921
3178,5433,3946
1415,4421,3798
890,3254,3625
550,2759,3295
472,2566,2739
406,2203,2141
918,1559,2024
1862,4455,1519
2741,4204,964
4455,4277,639
4335,4073,360
1132,4473,281
1753,3845,266
2732,3509,678
3426,2693,2111
4133,2191,4409
3912,1056,4380
3365,472,4053
3075,4734,3911
1211,5108,3865
436,5535,4324
321,6374,4575
5108,5941,4564
5340,4384,4306
373,2940,4161
819,2545,4443
437,495,3278
817,293,4870
2969,5763,4382
6033,6688,4303
6771,6178,4198
6067,4580,4842
5242,3395,4846
5296,3056,4210
5815,2642,3136
6593,1771,2554
6060,1150,3040
4815,659,4362
3677,325,3296
3303,256,2753
3042,335,1211
2238,767,794
533,2579,500
370,5853,499
821,7029,852
2827,5242,1043
5629,5709,798
5401,6356,522
5600,6721,457
5542,6304,363
1215,4858,2832
835,3677,3470
4461,3048,3732
4411,3465,3750
4721,2191,3933
4634,1336,3762
4605,713,3563
4462,395,3261
4313,345,2875
3572,357,1785
3333,748,1660
3460,2433,1226
3183,5452,827
2209,6864,716
1392,6144,485
905,5626,4555
620,5803,3979
441,6453,4008
315,6570,4317
544,6296,4667
830,5252,1037
1611,4210,543
2493,3382,438
3335,3235,366
3692,2689,386
4084,1805,782
4330,1082,2555
4428,712,2569
5799,587,2314
6412,379,389
6234,661,841
4832,1269,2570
3357,2098,5307
2805,3092,1123
391,4397,1807
868,4747,2495
2928,5219,4281
6123,5190,4103
6480,4935,4198
5228,4921,3331
4880,4754,2893
5256,4588,2388
5171,4533,2026
5553,3440,1527
5819,2958,1223
6176,4348,768
6720,4356,562
6395,3882,473
627,3635,602
360,2890,949
3022,2453,2760
6032,3714,5614
5521,2229,4052
5585,1051,4261
6018,511,4378
6599,316,4285
6136,256,4068
4863,797,4404
3534,2611,4484
3190,5281,4569
2970,4318,3512
2014,3826,3921
1283,3892,3404
672,4197,4151
441,4630,3237
334,5194,3215
391,6235,3312
867,5549,3595
2978,3913,3945
5562,2617,4454
6630,2093,264
5319,1776,331
3631,1343,847
2243,2298,2643
483,438,4342
396,289,4101
381,369,4082
6585,848,3703
5190,4805,3471
5896,4520,3563
6197,353,3986
5608,3072,3986
4995,2562,4962
3618,1868,4796
3238,1335,4938
457,359,5287
881,295,5762
1526,327,6272
2064,782,2867
2941,6920,1502
3677,6104,1580
4018,5128,1156
4728,5452,398
4459,6428,307
3332,4818,216
3114,3328,299
3192,5349,821
2696,5610,2597
2251,5441,4993
1407,5874,5279
1036,5836,5728
301,3795,4779
587,3302,5909
951,2648,5619
1179,3173,4616
1895,3609,4216
2805,2338,4498
3568,5230,4902
4273,6607,241
4581,4552,3846
4519,5054,4032
4378,5589,4367
4601,6330,4304
4489,4182,1051
4007,3075,548
3545,2221,347
3282,1717,266
2851,997,370
1949,258,4714
1190,321,1919
660,755,2631
382,5591,5606
307,5013,3998
358,4352,4470
859,4917,3901
2851,5051,2772
5770,5702,2314
6655,4700,2066
5979,3356,1371
5039,3271,927
4652,632,521
5077,774,319
2407,5201,234
1730,4784,322
1183,6486,804
659,3431,2786
444,1753,5608
294,5718,4275
6005,786,4553
6523,459,5123
6230,356,5911
2824,5147,6699
1854,5803,5783
1167,6289,4585
683,410,2401
399,369,270
330,4969,321
356,1049,876
850,402,2768
3069,308,6589
5398,4238,5890
5604,4319,4103
6111,3803,3939
6702,4922,2834
6104,5339,319
4940,3699,5059
3666,2661,4140
3192,1966,4339
2876,1346,4321
1898,494,4646
1202,317,739
374,320,561
871,2676,5252
3145,685,696
379,282,338
864,351,293
5747,6068,334
6693,3553,792
6247,3030,2391
4758,3793,4933
3790,3496,5678
3326,3024,5201
3121,2056,4722
2633,1459,4130
2096,373,4363
792,298,4747
548,382,4825
422,772,5111
1003,2460,5505
2737,4315,6215
4258,4484,602
4604,4677,396
4796,4681,643
5154,5000,3659
4899,5223,264
4127,5873,307
3503,5589,864
3202,4000,6109
2727,2901,5912
2002,2547,6949
1162,919,6365
631,519,4867
406,303,3311
328,4346,2971
331,2235,2890
3020,1571,2648
5773,1077,1141
6512,563,375
6219,372,896
5443,264,2278
4765,326,3771
5140,749,3683
5475,2507,3997
5542,5587,6466
5750,6743,4755
6298,6014,3200
5813,4376,2927
4520,4723,2439
3425,5083,1720
3321,4930,1084
2550,5187,6125
1648,6087,5208
1133,4743,3960
5883,2672,3380
6653,2742,3107
2787,755,2448
1844,412,237
1185,296,325
628,334,785
363,777,2746
318,2494,5966
365,5410,607
4941,6780,388
5157,4742,303
6760,5138,313
1893,5692,818
1214,5373,2692
643,5743,5898
5533,5371,6832
5079,3017,6134
5615,339,5194
5833,624,4454
6138,1097,4610
6750,1571,5027
7023,2177,4431
6724,3570,3302
4016,4502,2706
3325,4422,2823
6269,4390,2335
6172,4389,1817
5021,4023,1738
4057,3846,1935
3458,2780,2334
3181,2928,658
2546,4058,385
2101,3829,282
1321,3780,349
1712,2720,800
1041,5150,2552
563,5397,4930
259,6382,5439
323,5939,3911
637,3127,3312
1567,2697,2975
2064,5322,3635
4245,5350,2314
4134,5984,1556
4388,6841,329
4165,6306,2394
3666,4755,1864
3356,407,1352
2325,310,872
1754,329,1460
1064,736,462
573,2443,304
5776,5318,331
4709,6756,5270
4854,6064,4824
5194,3892,2768
6054,4958,2494
5299,5007,1948
5584,4877,251
5907,3520,364
6170,3122,848
4681,1984,5610
3217,1135,6302
1194,805,5826
393,616,4625
306,710,5248
5171,1052,530
5382,1623,362
5770,4254,245
5199,2310,312
3923,2316,792
2978,2107,5444
2846,2599,6293
2018,596,4877
1252,393,5258
744,262,5904
560,296,1617
3050,748,685
3792,5597,435
3209,6971,278
4028,6291,377
4120,4920,847
2909,4406,2805
5957,4542,5356
6641,4708,5582
6387,4766,5159
4652,5326,4444
3480,5595,4303
252,6524,4705
5968,2620,5214
4678,4917,5092
4880,6564,5120
5832,4458,5644
6640,3226,6061
6503,2754,5292
4805,3824,4634
3059,2868,3498
2667,1127,2971
2302,501,2905
2306,320,2621
282,227,1892
843,297,1340
3021,752,4685
5687,2568,5825
4750,5543,5138
2838,6812,4569
5753,4418,4911
6435,5821,5055
5873,6383,2970
4689,6106,2491
5204,4435,2174
5469,3172,1514
6309,2763,998
5916,2330,5339
5369,331,4634
4027,773,4781
3271,2628,4908
2756,3973,5008
1947,3078,4856
749,3069,5328
574,4018,6321
891,3191,5858
2228,3246,4297
3407,3714,5860
4723,3827,5086
2274,4562,5406
1598,5668,4317
294,4070,3437
2863,2697,2827
6158,6255,2656
4397,4049,2613
4585,5226,1676
4862,5173,1031
4772,2347,658
5191,2984,470
3354,3681,352
2881,3697,680
1566,3861,469
986,3946,1094
331,3726,614
233,3205,348
336,2551,2966
803,2179,5970
3058,1950,6530
3216,233,5542
3785,288,5710
3235,735,4726
2069,748,3025
1153,2705,2836
649,5994,2467
3320,7016,1739
1153,6373,1009
576,5046,649
416,4558,5793
3455,4764,6796
4042,4876,5932
3426,5004,4682
3806,5248,4877
2637,5958,5069
663,6713,5916
2242,6407,5793
4621,4860,6032
4410,3149,4347
4883,2964,3179
4540,2473,3092
3642,1108,2556
3087,549,2150
1556,343,1653
1032,239,1763
261,356,693
5817,764,327
3357,2610,278
2239,5883,853
993,7039,2160
376,6303,2578
2657,4595,3706
5799,4880,3683
4828,5047,3991
4999,4866,4158
5496,5425,4383
6000,5982,5485
4695,6736,4772
3119,6525,4861
2673,4542,4983
538,3209,5073
270,2511,5155
361,2003,5480
862,1022,5729
2971,590,5196
5476,264,4144
5924,303,3061
5454,764,2753
5246,2683,2449
4715,5729,651
4956,7150,5526
5058,5994,3631
5160,5210,3190
5755,4497,3138
6145,4620,2728
6709,4415,1846
5998,4472,826
5240,4501,601
3321,4192,389
2766,3796,471
2471,3618,877
1283,718,1441
680,5053,2156
385,4808,3024
315,4904,3900
385,4545,4433
853,4285,4928
2796,3595,5263
5818,3142,542
6231,3794,281
5913,960,279
3964,506,353
3301,296,901
3132,278,2907
2670,4546,5061
1938,4815,4050
1332,4907,4349
709,5183,4734
574,5728,4049
3615,1627,4291
2929,1134,4509
2752,460,4869
3035,2580,5012
1785,5461,5651
927,6078,6407
722,5022,268
393,4820,6025
329,4361,4696
543,4619,5179
903,4862,5642
1401,4615,6621
2172,5115,6000
4039,5994,4370
4518,6606,3139
4736,5220,2369
4384,4675,1889
4241,5149,1168
4724,5413,372
4794,6073,908
4483,6725,2930
3837,6454,5808
2955,4606,6252
2453,5924,5573
1674,5014,5360
1028,5287,4607
556,5213,4881
316,5738,5058
270,6527,5019
818,6598,5430
2879,3651,5897
6469,2331,6757
4921,1267,6042
5951,429,4672
2741,329,3397
2232,296,3055
1848,728,3558
2670,2473,1680
1299,5332,803
3162,7009,490
1508,5645,358
914,5217,387
301,5594,836
6336,5703,2773
4769,5475,4949
3452,6189,5386
2825,6539,4776
2381,6610,3550
1530,6174,2849
213,5232,2866
5976,3919,2554
5268,3508,1814
6330,4489,1275
6795,3611,817
6567,2158,646
4983,1270,413
3643,600,4015
3030,684,4255
2608,1400,4769
1883,2381,5026
1075,3535,5549
561,4927,6372
337,878,5634
272,3076,4366
341,5956,4936
806,4489,5140
2863,3340,5137
5841,2728,5493
6616,336,5903
6338,275,6551
5423,6032,5926
4492,4541,4535
4919,5005,2294
4910,2932,771
4891,1809,767
5507,4770,2429
6709,4975,4378
6455,4923,4515
4807,5331,4593
3650,5599,5139
3022,6312,2584
2517,4541,1779
1836,2761,1141
1146,2498,698
596,1582,391
372,1080,359
271,544,596
335,341,1477
856,268,3200
2935,304,3698
5885,6299,3400
6668,3559,3694
6182,2732,3851
5391,1882,2549
4688,1142,2339
4691,648,2460
5205,704,2576
5078,2494,2300
5657,5668,487
6160,6478,349
5986,5221,798
4974,5068,1260
3764,5326,732
3256,5282,412
3539,5731,288
1371,6391,373
713,5837,743
408,4775,2217
316,690,3997
396,2299,3699
791,1483,2745
5593,912,3529
6775,419,3562
5810,314,3433
469,3728,3994
1548,4456,3931
1489,4410,4308
730,4607,4515
415,4413,5141
351,5734,4520
4850,4470,3764
4521,3420,2849
4930,3004,2299
5353,2467,2180
1084,1735,1916
615,1058,1177
291,575,741
388,330,437
2694,303,4345
6088,284,4496
6344,732,4474
5013,5763,4750
2980,6970,4767
2618,6289,4859
604,5047,4564
344,4451,3929
406,4507,3016
2781,4818,2470
5762,5354,5618
5413,5881,5178
3146,4286,3625
3518,2758,2669
829,5073,2056
649,6110,2834
393,4556,2785
854,5137,1118
3065,5530,599
3096,6089,353
394,6556,2089
2469,6271,1053
1509,4669,648
1018,3375,855
578,2562,2869
355,2737,4869
251,5813,4601
340,5369,4475
6876,4947,4021
4384,5180,3559
6771,5253,3524
5053,6344,3587
4903,409,3293
5753,292,3557
3617,2503,4081
3479,6802,4269
3002,5143,4178
2555,5263,3130
3824,5577,2567
5341,6527,3338
822,5937,3771
4935,5159,4175
351,3748,4567
5933,3248,3873
6300,2965,3383
6753,2726,2769
6125,1683,2357
5231,962,1935
3659,495,1800
2827,304,2218
3862,562,2264
3285,2150,2292
1898,2053,979
1106,1374,600
723,648,341
424,297,269
4654,1486,347
4728,2256,775
5622,2862,2183
332,3094,3637
425,3311,3651
743,3277,3231
2606,3168,3410
5548,3004,3307
6641,2893,3638
5908,2754,3970
5061,2464,4207
4722,2341,4414
5153,2053,4800
5505,5590,4437
5478,5806,3528
5789,5046,2611
6047,4579,2162
6512,5640,1977
3041,5182,1430
725,3282,888
530,6624,494
377,4846,321
362,5162,354
709,5036,872
1278,5409,2836
1827,6423,5254
2719,5982,5568
3685,6642,5066
4439,6404,5045
5020,6592,4302
4213,6268,4332
4127,4703,2797
4164,3451,5109
4027,751,5250
3682,6778,4429
3193,1851,3794
2594,1173,3351
2572,391,3240
2549,3477,3143
2311,3696,3066
1184,4161,2846
835,4742,2132
558,4577,1488
361,4237,1379
292,3327,1086
463,2974,1291
745,3099,889
1089,3095,1246
1708,2361,1631
2623,318,570
3319,4233,446
3509,3335,245
3731,3405,211
3808,325,5625
3777,787,4529
3866,2588,4646
4148,5612,5720
3671,4791,4449
3122,4778,3637
2995,5287,3009
2658,2367,2817
2298,4393,653
1583,4669,444
894,4850,395
468,5870,1058
793,6768,1666
2657,6099,2314
5715,4348,3024
2565,3175,3564
5084,2649,4065
2620,335,4506
2542,228,4784
3496,5028,4895
637,4352,4801
374,4802,4716
305,5919,4535
377,4830,3849
770,1227,6405
2538,705,5489
5280,3980,376
5000,3621,982
5237,3415,2534
6058,3019,4546
4754,566,3400
3309,255,2856
2729,474,2564
2821,795,1739
2394,1015,5891
1589,1549,4691
1073,2206,3790
660,2963,3216
432,3192,3818
317,3414,3788
364,3564,2020
2754,3637,1368
3520,3588,926
3636,3464,1839
4704,3180,2552
4893,2912,3168
3101,2587,3572
2342,2310,3838
2450,2242,3924
3318,1895,3562
1716,1452,3572
1122,863,3716
688,514,3752
2318,427,3652
370,268,3763
292,264,3301
353,492,2632
805,857,2454
2706,943,2892
5482,1111,2935
5231,1649,1536
2934,2238,986
2981,2745,4450
1831,3265,4303
1187,3436,4884
2353,3712,5441
667,3812,6091
416,3648,5912
288,3473,4309
258,3371,1652
480,2880,1120
2691,2539,549
2545,2183,346
2886,1542,259
3703,975,337
3333,527,865
2871,345,2776
2552,268,4899
2067,336,4967
2494,716,4915
2618,2714,5343
1083,5828,4364
551,4749,2830
355,4848,5449
290,5395,5954
256,5867,5395
627,6658,5192
2107,6040,4896
4596,2639,1305
351,561,660
288,373,389
294,243,287
580,6267,340
3832,6538,2885
5133,4904,5675
4435,3221,3916
4504,2828,2674
3478,2617,1179
2711,1800,1831
2439,360,2826
5032,4359,3514
5654,4784,3977
4944,4933,360
4282,5155,340
3991,5634,781
5216,6414,2432
2763,4855,4228
2225,3479,4740
3355,3109,3344
2261,2746,3226
1072,2157,3239
285,743,3484
891,5974,3450
554,5412,3490
458,5591,3426
288,5635,3682
232,5915,3585
384,6175,2659
665,6273,2087
784,6075,1821
1176,3256,1593
1713,3160,1354
2355,2636,434
2627,1820,342
3084,1116,825
3109,3954,2690
3708,4813,4705
1736,4647,4844
272,4768,4707
209,4412,4062
289,4382,4058
2172,3945,4407
4114,2886,4439
4615,2902,4786
3902,2616,5888
3500,1221,4226
5550,646,5900
2793,355,4514
2147,374,3048
1903,719,2736
483,947,2247
316,1486,1905
236,3771,1372
304,4184,632
734,4702,390
2507,4535,309
5475,4519,368
6280,4111,830
5332,3308,2451
4080,2981,4627
4121,2655,5240
4460,1963,1836
4943,1189,3018
5932,596,3753
4305,355,4373
2922,319,3660
2313,343,3247
2039,791,2709
1436,2769,2677
959,5893,2338
544,6746,1520
311,6192,1686
5160,4967,1786
4284,4667,1162
2951,4746,779
3595,4761,510
5204,5739,381
726,6079,254
1332,4307,2598
839,3189,3073
422,4906,1840
289,4958,3193
222,5979,4241
302,6852,703
784,4479,471
2554,3270,391
5492,2712,486
4642,1899,2704
4167,1236,4879
4288,570,5062
6427,375,4211
6095,249,3780
3178,343,3586
2488,788,3611
2211,2736,3719
1503,5890,4151
924,6085,3260
490,5790,1953
266,5281,1389
244,3146,1117
337,2202,844
754,1453,753
2484,453,694
4250,5595,599
3885,5659,308
4024,5905,242
4499,6541,231
4547,5723,335
4766,4693,807
4946,3770,2537
5953,3114,4601
4027,870,4848
3836,606,4623
1432,414,4085
195,414,3602
270,1479,3781
3706,2138,4037
3570,2893,4166
3151,3721,4057
3314,3761,4476
3522,4101,4732
3675,4362,5312
4181,4442,1662
4412,4535,975
5028,4413,420
4760,4292,419
3366,4076,490
2305,3231,740
1763,3062,1039
1721,3041,1607
1182,3254,5619
824,2699,6426
466,1610,5876
256,1432,5130
194,930,4406
334,481,4427
723,694,4600
2238,1590,4696
4611,2326,4958
5071,3129,5690
4748,3565,6609
4003,3953,6097
3673,4112,4569
4043,4159,3098
4545,4300,2741
4456,4117,2517
1829,3882,1621
459,3580,6218
292,2987,5356
233,1843,4551
308,1108,4807
771,710,248
2570,5387,336
5315,5969,2625
5986,6684,5213
2700,6651,6382
4289,4308,4992
4661,5287,5956
4730,6759,3000
3652,2799,2012
2682,2179,6040
2461,1216,4892
2219,3122,5350
1771,1513,5783
1255,501,5589
644,382,5713
390,3286,5936
313,1456,6137
361,2036,1685
734,2685,963
2557,3557,580
5150,4067,485
5363,4256,386
5269,4761,352
4721,4676,588
4548,4715,1045
4852,4286,1556
5010,4509,2289
5713,4200,3092
5979,3651,3629
5724,3137,4895
5115,2835,4750
3951,2965,4949
2930,2856,6000
2791,2137,5301
2964,476,3893
1684,335,2521
1126,537,2159
644,810,2702
495,1153,2359
376,1763,1040
347,2724,552
699,3505,346
1186,4340,329
1986,4472,836
2694,4277,2555
3589,333,4311
3881,314,4096
4526,4874,4790
4933,3547,3893
4923,3002,3403
4394,2764,3587
4172,1854,3822
3555,1310,3917
2743,657,4058
2658,411,4689
2830,276,4930
2296,359,4207
1143,2951,2887
695,4857,1834
539,5067,1703
291,880,1450
284,2935,1511
434,6065,1271
739,1879,501
962,878,327
1670,516,259
2506,353,337
3114,324,821
3306,2754,2580
3655,2094,4551
3795,1474,5389
3944,2803,3322
3959,4205,3288
4295,5284,2888
3567,4764,2390
2185,5656,932
1801,6366,514
1748,4396,312
2891,3277,879
1721,2883,2687
942,602,5211
456,6724,4748
309,6261,5022
230,4533,1196
319,3442,657
770,3080,496
2503,675,381
5311,370,342
2651,798,1221
1448,6134,4272
973,6605,4083
479,5378,4389
315,5692,3687
245,4904,3224
5707,5192,2455
5750,5347,2145
5189,5303,1799
4252,5866,1425
4601,5941,992
605,6400,427
375,5992,315
308,4663,251
399,3664,339
724,3193,5192
2485,2970,6110
5349,2205,5824
6208,1403,4933
5612,713,4640
5002,488,2902
4578,367,5806
5007,5952,6708
5210,4801,4436
5113,3146,5784
5386,2449,5174
5942,1427,2882
6114,497,2320
5932,370,2158
4876,378,1773
3475,785,1143
2732,2746,625
2928,5365,441
3009,6507,397
1703,5678,309
1094,3627,300
701,4024,986
523,4461,1311
343,4800,1489
356,5001,1755
662,5234,1978
443,4623,2153
713,4450,2147
1653,4198,1987
2490,3309,1822
3317,3245,1881
3588,4323,1461
3849,4306,1478
4072,4368,1068
3959,4397,881
4117,4452,618
3920,4162,707
3711,3923,594
3535,3289,526
2674,3065,353
2245,2892,259
2146,2131,198
1646,1389,151
3111,444,175
794,401,301
298,341,490
310,828,634
323,2815,674
737,6783,984
2542,5408,1494
5506,4646,1794
6403,3369,2037
5556,806,2205
4793,2952,2406
4010,5489,2171
4271,6041,2109
4373,6432,1849
4611,2866,1659
4857,5661,1417
5465,4713,1642
6347,3077,2809
6008,3265,1203
4169,3257,706
2838,3253,407
2441,3902,272
2063,3897,247
1397,3952,357
903,3720,779
481,2811,2238
282,2382,4364
212,2027,4963
341,1202,4463
744,897,3860
2610,772,4149
4717,393,4824
6080,359,5013
4971,538,7022
6052,961,6459
4499,1128,
3442,1604,
2971,2389,
2737,3235,
1935,3623,
5076,3872,
4664,4363,
5185,4327,
5655,4379,
5429,4226,
5616,4210,
5999,3774,
6403,3503,
6160,2707,
4973,1866,
3930,1264,
3049,682,
2796,391,
3539,306,
2039,4946,
1111,5016,
759,5338,
323,5668,
252,6397,
445,5849,
740,4493,
1011,4571,
1647,3485,
2440,3110,
3101,2792,
3505,2036,
3918,1835,
2465,779,
2284,433,
1908,345,
1298,360,
895,810,
511,3004,
5221,6244,
1608,6458,
939,5078,
527,2871,
340,2109,
259,1388,
389,697,
802,438,
2712,4858,
5516,3315,
6158,3263,
5947,2398,
5025,1456,
4317,845,
2800,479,
2322,392,
1870,3151,
1843,2873,
1684,2158,
1165,1226,
705,910,
437,670,
340,395,
300,434,
327,865,
647,1346,
1128,1840,
1718,2651,
1797,3356,
3206,3948,
2638,4356,
2686,3966,
3075,3435,
2418,3140,
1609,2921,
1084,2674,
812,2860,
570,807,
356,500,
290,293,
456,354,
768,828,
930,2908,
1636,6103,
2344,6303,
2875,6388,
3262,6018,
3597,4580,
3861,3509,
3888,3032,
3731,2638,
3632,2721,
3033,2025,
2596,1286,
2222,736,
1811,434,
1445,284,
2017,360,
516,783,
309,3071,
231,6144,
353,6160,
889,6220,
3154,5528,
5024,4967,
293,5150,
244,6659,
244,4954,
369,3238,
369,2896,
864,2152,
2583,1311,
5034,729,
5156,434,
4490,314,
5052,361,
4317,891,
4225,3040,
4570,6002,
4700,6217,
5668,6076,
3128,5441,
2827,3943,
2711,3453,
1660,2371,
1010,1917,
499,3050,
336,679,
232,404,
324,5943,
790,6525,
2645,5714,
1562,5227,
543,4881,
294,5407,
269,1373,
383,919,
812,562,
2643,426,
5300,931,
5684,4782,
3410,4967,
3036,5077,
3031,4505,
443,4263,
759,4487,
1707,4253,
2482,4226,
3177,3131,
3394,5131,
3838,4574,
4106,4932,
3994,5365,
3868,5248,
4122,5660,
3607,660,
3319,364,
2676,6184,
2090,5343,
1810,4750,
1401,5049,
2542,6040,
925,6423,
351,6120,
263,4758,
359,3640,
778,3390,
4557,3153,
4915,2310,
5178,1407,
6350,782,
3195,6040,
3271,5346,
2341,4634,
1841,3807,
5853,3140,
2177,402,
690,919,
1316,3524,
4529,4049,
3916,4218,
3231,4418,
4122,4377,
3698,4035,
1974,3189,
1220,2929,
785,2926,
442,2635,
433,2031,
854,1371,
2478,822,
5147,565,
5045,393,
5630,542,
6260,870,
5548,1137,
4535,1723,
2451,4478,
5626,4033,
5068,3504,
4492,1387,
4803,739,
5104,468,
5055,324,
5419,345,
5884,846,
3737,2833,
3012,5031,
2863,5356,
2505,5758,
632,6303,
1400,5905,
981,2574,
683,1736,
368,411,
294,283,
438,5161,
737,4578,
1022,5025,
1738,5025,
2693,3450,
3726,3015,
3757,2657,
4331,1814,
4429,5072,
237,5329,
387,5349,
2164,5655,
1198,5919,
694,6594,
381,6304,
389,4936,
373,3495,
697,3255,
1217,2727,
1870,1937,
1142,5538,
730,5334,
596,5845,
323,6119,
283,6440,
435,5253,
746,4848,
1009,5458,
6538,3441,
5702,3589,
1824,2174,
1037,4677,
535,4505,
327,4574,
240,4656,
367,4371,
843,4305,
2686,3828,
1661,3405,
1074,3094,
561,2989,
386,2623,
372,1998,
701,1507,
1300,964,
3057,610,
4140,438,
4112,337,
1472,551,
748,4572,
4188,4301,
804,4338,
2651,4421,
5691,4392,
2625,4391,
2726,2880,
1102,2040,
666,370,
567,845,
377,2769,
363,5471,
664,6597,
1284,5876,
3703,4984,
4241,4393,
4522,4767,
4215,4917,
4232,5896,
502,6217,
299,5563,
231,4479,
307,3414,
823,2834,
2780,2516,
6295,1818,
5226,1179,
3702,676,
1204,410,
574,5190,
372,5203,
277,5638,
6128,5947,
680,6592,
5345,6005,
5699,2519,
2999,2230,
807,1778,
2712,696,
5938,396,
6595,2937,
6271,5990,
5334,5150,
4860,4874,
5064,5690,
3067,6153,
751,6799,
431,5284,
328,4815,
338,5154,
667,5976,
2159,6474,
2528,5026,
6447,4914,
6173,5909,
4614,5999,
3221,6199,
2963,5763,
4939,5295,
2101,3756,
1042,3148,
634,3263,
323,2933,
232,2172,
346,463,
815,469,
2783,3516,
5764,3839,
5919,4447,
6814,4591,
349,4342,
527,4301,
374,4040,
226,3689,
245,3094,
436,2641,
945,1896,
4510,1235,
2431,640,
5886,394,
5222,296,
4591,372,
4850,5083,
5160,4667,
5851,4837,
6478,5117,
6014,5153,
3128,5555,
2931,2407,
2677,1711,
1882,1098,
1042,618,
549,392,
341,311,
250,4921,
370,3508,
824,3275,
2814,2825,
4776,1930,
4789,1236,
5120,418,
4854,271,
5071,5893,
5005,4983,
2598,5228,
2512,5532,
4030,5506,
2081,5615,
957,4944,
682,5384,
439,5754,
385,5827,
385,5854,
755,3349,
4815,2802,
3705,1887,
2413,1237,
1957,917,
1035,553,
472,397,
313,4506,
371,4615,
825,4680,
2846,4721,
6076,4575,
6715,3934,
6228,4423,
3679,5284,
3231,5151,
721,5419,
5670,5708,
2732,6116,
5577,5796,
6503,4564,
1304,3371,
431,2939,
876,366,
1725,777,
2499,3024,
3545,5895,
4045,6865,
4448,6168,
4854,5438,
5295,4670,
5028,5151,
4906,5158,
3317,5295,
859,5502,
614,4691,
389,3592,
357,3190,
595,6159,
1026,6714,
1336,6262,
2217,5371,
3349,5005,
4131,5406,
4351,661,
4786,385,
3944,302,
3457,6063,
3145,5022,
2760,5205,
2002,5462,
1150,5492,
585,5759,
381,6173,
6021,797,
6689,499,
6165,369,
1926,5702,
370,5417,
806,5660,
2971,5925,
5917,5871,
4584,5820,
6205,6129,
4636,5976,
3319,5307,
3034,4461,
2719,3252,
1879,3092,
1089,2709,
656,1547,
384,400,
304,377,
394,719,
781,1185,
2944,1803,
5850,2687,
6547,4028,
6177,4290,
5290,4851,
5032,4751,
5199,4723,
5509,4588,
6175,4517,
6413,4449,
6241,620,
4914,5575,
3525,5463,
3270,5868,
2912,2959,
1255,2150,
662,1459,
413,773,
302,458,
378,377,
701,385,
2626,848,
5409,6160,
6165,6009,
5556,5387,
4860,1078,
4798,4454,
5062,3835,
5461,2913,
5491,5069,
5849,5921,
5962,6455,
3456,6227,
2974,4824,
2985,3568,
2672,3109,
2032,2536,
1161,2027,
755,3578,
720,753,
431,425,
360,292,
751,366,
3779,3093,
4014,6276,
3973,5007,
3796,662,
3494,5297,
3100,4703,
2807,6535,
2792,5907,
2771,553,
2087,4326,
1287,4108,
740,4049,
695,3659,
307,3433,
299,2849,
459,2218,
5228,2327,
3015,2109,
2784,542,
1845,385,
1127,284,
658,5842,
443,2389,
287,387,
359,4874,
836,4912,
2932,6400,
5723,4911,
1268,3006,
731,2693,
451,1676,
330,1019,
440,570,
798,350,
6653,5471,
5947,3069,
5199,866,
4993,358,
5135,4782,
4819,1155,
4779,1936,
3320,4223,
2802,4523,
332,4312,
304,3971,
381,4273,
840,4171,
2987,3508,
6071,2994,
6659,5445,
6294,4489,
5053,4816,
5318,5018,
5967,5303,
6729,6605,
6387,6298,
3361,6807,
2157,5060,
1241,6600,
631,6259,
2995,312,
6489,841,
4973,2813,
6888,4916,
3558,4746,
2839,5562,
343,5813,
396,3953,
3054,2664,
5993,1840,
6341,716,
6045,919,
479,6679,
4864,4978,
5344,523,
5884,6004,
4048,5488,
2452,5046,
1447,4981,
3327,5464,
4094,6069,
5294,4887,
5077,3283,
4976,5147,
4998,6213,
4883,6637,
3637,6162,
2257,5486,
422,432,
3160,879,
2858,1451,
2650,2367,
1830,4564,
1158,4390,
651,4021,
378,2717,
352,5845,
5342,5550,
6567,6205,
4626,6448,
3532,5317,
2998,4324,
2705,3631,
5882,439,
4846,5134,
3556,3199,
5781,4327,
5859,2293,
3479,2798,
2978,227,
414,812,
5554,6527,
5031,5980,
4615,4925,
3651,4476,
4067,4699,
3243,6661,
444,3442,
4987,4813,
6342,5187,
5662,5401,
3737,5810,
2898,6177,
4052,418,
4212,5377,
658,5203,
4447,5463,
4724,2186,
5394,5729,
2912,5737,
2071,4899,
